Question	Answer
"Estou com uma dúvida sobre gclid, você pode me ajudar?"	"Claro que sim, diga qual sua dúvida."
"A tabela de cliques a minha não está marcando o que pode ser?"	"Olá, verifique se o seu Smart Click está atualizado, se sim, por favor assista o vídeo (Assista aqui caso seu relatório não funcione)."
"Quem tem a super pressel da pra usar normalmente Smart Click?"	"Sim, Super Presell e Smart Click são 100% compatíveis."
"Numa campanha nova vocês sobem o produto já com a url final do Smartclick antes da campanha qualificada? Ou esperam qualificar e alteram a url?"	"Desde o início, depois Não recomendo mexer."
"Queria saber se a Smart click da para usar em mais de um domínio se eu posso criar subdomínios e usar também?"	"A instalação é uma só ....a utilização é ilimitada, apenas copiando o script nas presell."
"Tem que ter página de cookies para colocar a URL na ClickBank v8.0?"	"Não, qualquer página serve."
"No construtor de URL, em qual opção coloco o gclid?"	"Se Não estiver determinado com um campo específico para o gclid eu recomendo colocar na posição 1 sempre."
"Após subir as conversões para a planilha, elas atualizam na hora os dados para a conta? Ou esse processo costuma durar mais de um dia?"	"O Google diz que pode levar até 48 horas, porém depois de umas 3-4 horas já costuma aparecer."
"Sou português e vivo em Portugal a planilha Google sheets tem a timezone para inserir na minha conta Google o fuso horário aparece + 01:00 é assim que coloco na planilha certo?"	"No seu caso vai ficar: Parameters:TimeZone=+0100 (na linha 6 coluna A em vermelho)."
"Minha chave instalada estava em um domínio que venceu e a hospedagem também porém para renovar está muito mais caro, aderir outra hospedagem porém essa chave diz que está instalada em outro domínio como posso resolver isso?"	"Por favor passe os seus dados que iremos verificar."
"Da pra pegar o gclid lá no relatório do super pressel também?"	"Dá sim, o glcid encontra-se lá disponível."
"Para atualizar o smartclick, tenho que desinstalar conforme é ensinado no módulo (Desinstalando corretamente o seu smartclick)?"	"Não, você pode atualizar diretamente do WordPress na parte de plugins."
"Fiz o procedimento para remover a licença de um domínio para levar para um subdomínio. Infelizmente está acontecendo um erro. Quando coloco meu email e o código da licença. Consegue me ajudar? Já desativei o plugin e desinstalei, mas não deu certo."	"Por favor desative a licença antes de desativar o Smart Click que deve funcionar."
"meus pixels tao com status inativo. Como faz pra deixar ativo?"	"Assim que você fizer vendas e subir as conversões eles mudam o status pra ativo"
"Vc sabe o motivo de não ter vindo o Gclid na notificação ?"	"Tem uma série de variáveis, tem que rever as configurações para ver se está tudo certo e ainda pode ter sido uma venda por cookie ou pode ter sido um IOS blindado, daí não tem como recuperar."
"Meu Telegram não dá opção de escolher o som, somente habilitar ou desabilitar, o que pode ser?"	"Por favor instale o aplicativo no computador e não a versão web, pois essa função está apenas no aplicativo, ou faça pelo celular."
"Quando preencho a planilha fica dando erro de horároio, diz que a hora do click não pode ser antes da conversão, o que pdoe ser?"	"Por favor sempre utilize o horário da notificação que você recebeu e ajuste o fuso-horário na planilha com o fuso horário da sua conta do Google Ads."
"estou com uma duvida, já notificou a mesma venda várias vezes, o que será que pode ser isso?"	"infelizmente esse é um bug com algumas pessoas apenas e a ClickBank, não sei a causa ainda disso pois não acontece com todos e assim fica difícil achar o erro, peço desculpas por isso pois sei o quão frustrante pode ser."
"Posso criar minh URL de anúncio com o contrutor para a ClickBank?"	"Na versão 8.0 da ClickBank deve sim, pois está funcionando muito bem."
"Posso trocar a URL de uma campanha rodando, pela mesma URL com o SmartClick?"	"Recomendo duplicar a campanha para alterar … pois seu anúncio vai entrar em revisão … uma vez aprovada aí você pausa a antiga, assim você não para de anunciar em nenhum momento"
"no meu  smart click o relatorio esta zerado, isso é normal?"	"Não é normal, por favor reveja o video sobre como utilizar o script para ver se cometeu agum erro."
"Tenho mais de uma conta no Google com emails diferentes, como faço a integração do Smart Click?"	"No momento o Smart Click integra apenas 1 conta com o Google, caso use mais de um e-mail, os outros terão que ser feitos manualmente."
"Na hora de subir a conversão manual para a conta do Google, eu devo usar a mesma planilha pra todas as contas ou planilhas separadas?"	"Se você tem todas as contas no mesmo e-mail, pode ser a mesma planilha, porém se elas estão em e-mails diferentes, daí precisa ser planilhas diferentes"
"No construtor de URL, na terceira  linha é  obrigatório colocar  o Pixel do Google  ou não?"	"Só se você for fazer a integração com o Google para preenchimento automático, caso vá fazer manual, não é obrigatório"
"Tenho uma dúvida em relação ao relatório de cliques, caso eu queira fazer a identificação dos cliques por campanha, teria que identificar o meu primeiro SUBID com o nome da campanha? O campo Click ID do relatório é alimentado pelo primeiro SUBID?"	"Isso mesmo … para ter essa informação no relatório deve utilizar o subid1"
"tem como exportar o relatório?"	"No momento não existe essa função no Smart Click"
"Preciso instalar o HFCM para utilizar o Smart Click?"	"Não precisa, o Smart Click é auto suficiente e não precisa de nenhum outro plugin para funcionar corretamente"
"Preciso instalar o Pretty Links para utilizar o Smart Click?"	"Não precisa, o Smart Click é auto suficiente e não precisa de nenhum outro plugin para funcionar corretamente"
"Preciso instalar o Clarity para utilizar o Smart Click?"	"Não precisa, o Smart Click é auto suficiente e não precisa de nenhum outro plugin para funcionar corretamente"
"onde consigoo essa planilha de integração do Google?"	"Dentro do Google, onde se cria o pixel, quando vai em Uploads, lá tem a opção de ver modelos, é ali que você baixa sua planilha"
"Quando monto minha URL usando o construtor, Não está dando certo no final, o que pode ser?"	"Por favor certifique-se de ter colocado o endereço completo de sua presell incluindo a barra depois do nome do produto e antes dos parâmetros"
"Onde eu pego o ID da Planilha?"	"o ID de sua planilha é o número que está depois do d/ até antes do /edit, só copiar isso que vai dar tudo certo."
"alguém sabe me dizer onde está a aula explicando como usar o Pretty Links no caso da clikbank? não estou achando"	"Foi retirado do curso ...pois agora com a nova atualização basta utilizar o Smart Click apenas e seguir o video de A-Z que tudo vai funcionar bem"
"Ainda não recebi o e-mail da conversão de hoje, Isso é normal na BUYGOODS?"	"Não é normal não .... se você montou a URL corretamente com o gclid na 1a ou 2a posição por favor tente recuperá-lo de dentro do dashboard da BuyGoods, e por favor faça um outro teste para garantir de que está configurado corretamente"
"Para que serve o Smart Click?"	"o objetivo do Smart Click é a captura das informações de suas vendas, uma vez em posse disso, temos a condição de devolver pro Google essas informações, e com isso alimentamos o pixel e começamos a deixa-lo inteligente, uma vez ele inteligente, o Google consegue traçar um perfil dos seus compradores e começa a entregar os seus anúncios para um público muito mais qualificado pois ele já sabe quem possivelmente compraria o seu produto, com isso temos uma economia considerável nos gastos da campanha, é um aumento nas vendas, colocando mais dinheiro no seu bolso. Resumidamente é isso que o Smart Click pode fazer por você"
"Tem como usar o smart click nas Plataformas Brasileiras, tipo Hotmart, Braip, Monetizze?"	"No momento o Smart Click funciona apenas com plataformas estrangeiras"
"configurei todas minhas contas/campanha com smart click mas tenho uma que não está vindo o glid, poderiam me auxiliar onde posso estar errando, já olhei tudo várias vezes e  não acho o erro."	"possivelmente vc não colocou os parâmetros na url e o script não está na página. Tem q conferir tudo isso, com calma que vai funcionar"
"o google não está liberando a opção para compartilhar o pixel com a subconta, Poderia me ajudar?"	"Claro, por favor atualize a página várias vezes se necessário lá no canto superior esquerdo pois isso é um bug do Google, fazendo isso, vai aparecer a opção."
"Fiz todas as configurações conforme as aulas, mas ainda não recebo as notificações, o que pode ser?"	"Por favor, confira se salvou as informações no final das configurações, tanto o email dentro do Smart Click, quanto as informações do postback dentro das plataformas."
"Como faço para bloquear um IP que clicou muitas vezes na minha campanha?"	"Vá na sua campanha e mande editar, bem no final tem um campo onde se bloqueia os IPS"
"a tag do google colocada na conta nivel mcc funciona para todas as contas vinculadas?"	"não usamos a tag do Google ... isso é pra quem usa o Google Analytics"
"Tenho q configurar novamente a clickbank na v8 na SmartClick, Após a atualização?"	"Sim, pois o modo como montamos a URL mudou e está igual as outras plataformas"
"É obrigatório fazer a Integração do Google com a planilha?"	"Não, isso é apenas mais um recurso do Smart Click, pode fazer seus uploads manualmente sem problemas."
"Cada campanha que eu subo caso seja na mesma conta eu preciso baixar no drive outra planilha?"	"Não precisa, pode usar sempre a mesma, desde que seja sempre o mesmo email."
